id,uniacid,business_name,branch_name,category,province,city,district,address,longitude,latitude,telephone,photo_list,avg_price,opentime,recommend,special,introduction
,4,厦门加州广场店,,"a:3:{s:4:""cate"";s:6:""购物"";s:3:""sub"";s:12:""服饰鞋包"";s:4:""clas"";s:0:"""";}",福建省,厦门市,,厦门加州广场店,113.333655,23.138651,,"a:1:{i:0;s:51:""images/4/2015/10/ITDZh3sk23khKTEPr5j2EuRk17DbKhk.png"";}",0,8:00-24:00,,特色服务,
,4,厦门SM广场店,,"a:3:{s:4:""cate"";s:6:""购物"";s:3:""sub"";s:12:""服饰鞋包"";s:4:""clas"";s:0:"""";}",福建省,厦门市,,厦门SM广场店,113.333655,23.138651,,"a:1:{i:0;s:51:""images/4/2015/10/ITDZh3sk23khKTEPr5j2EuRk18DbKhk.png"";}",0,8:00-24:00,,特色服务,
,4,东莞东城万达广场店,,"a:3:{s:4:""cate"";s:6:""购物"";s:3:""sub"";s:12:""服饰鞋包"";s:4:""clas"";s:0:"""";}",广东省,东莞市,,东莞东城万达广场店,113.333655,23.138651,,"a:1:{i:0;s:51:""images/4/2015/10/ITDZh3sk23khKTEPr5j2EuRk19DbKhk.png"";}",0,8:00-24:00,,特色服务,
,4,东莞长安万科广场店,,"a:3:{s:4:""cate"";s:6:""购物"";s:3:""sub"";s:12:""服饰鞋包"";s:4:""clas"";s:0:"""";}",广东省,东莞市,,东莞长安万科广场店,113.333655,23.138651,,"a:1:{i:0;s:51:""images/4/2015/10/ITDZh3sk23khKTEPr5j2EuRk20DbKhk.png"";}",0,8:00-24:00,,特色服务,
,4,佛山南海万达广场店,,"a:3:{s:4:""cate"";s:6:""购物"";s:3:""sub"";s:12:""服饰鞋包"";s:4:""clas"";s:0:"""";}",广东省,佛山市,,佛山南海万达广场店,113.333655,23.138651,,"a:1:{i:0;s:51:""images/4/2015/10/ITDZh3sk23khKTEPr5j2EuRk21DbKhk.png"";}",0,8:00-24:00,,特色服务,
,4,佛山印象城店,,"a:3:{s:4:""cate"";s:6:""购物"";s:3:""sub"";s:12:""服饰鞋包"";s:4:""clas"";s:0:"""";}",广东省,佛山市,,佛山印象城店,113.333655,23.138651,,"a:1:{i:0;s:51:""images/4/2015/10/ITDZh3sk23khKTEPr5j2EuRk22DbKhk.png"";}",0,8:00-24:00,,特色服务,
,4,广州正佳广场店,,"a:3:{s:4:""cate"";s:6:""购物"";s:3:""sub"";s:12:""服饰鞋包"";s:4:""clas"";s:0:"""";}",广东省,广州市,,广州正佳广场店,113.333655,23.138651,,"a:1:{i:0;s:51:""images/4/2015/10/ITDZh3sk23khKTEPr5j2EuRk23DbKhk.png"";}",0,8:00-24:00,,特色服务,
,4,广州西城都荟店,,"a:3:{s:4:""cate"";s:6:""购物"";s:3:""sub"";s:12:""服饰鞋包"";s:4:""clas"";s:0:"""";}",广东省,广州市,,广州西城都荟店,113.333655,23.138651,,"a:1:{i:0;s:51:""images/4/2015/10/ITDZh3sk23khKTEPr5j2EuRk24DbKhk.png"";}",0,8:00-24:00,,特色服务,
,4,广州东方宝泰广场店,,"a:3:{s:4:""cate"";s:6:""购物"";s:3:""sub"";s:12:""服饰鞋包"";s:4:""clas"";s:0:"""";}",广东省,广州市,,广州东方宝泰广场店,113.333655,23.138651,,"a:1:{i:0;s:51:""images/4/2015/10/ITDZh3sk23khKTEPr5j2EuRk25DbKhk.png"";}",0,8:00-24:00,,特色服务,
,4,广州高德置地广场店,,"a:3:{s:4:""cate"";s:6:""购物"";s:3:""sub"";s:12:""服饰鞋包"";s:4:""clas"";s:0:"""";}",广东省,广州市,,广州高德置地广场店,113.333655,23.138651,,"a:1:{i:0;s:51:""images/4/2015/10/ITDZh3sk23khKTEPr5j2EuRk26DbKhk.png"";}",0,8:00-24:00,,特色服务,
